{ stage: "Parse" name: "kdb_reload" target: "__knowledge" provider: "sqlite" outcome: "success" total: 1 success: 1 suc_rate: 100 speed: 0.0032258064516129032 beg_time: "2026-05-29 11:01:02.675637" end_time: "2026-05-29 11:01:02.706018" }
{ stage: "Sink" name: "sink_stat" target: "kafka_sink/all_sink" wp_sink_group: "kafka_sink" wp_sink_name: "all_sink" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809482" end_time: "2026-05-29 11:01:07.609078" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809482" end_time: "2026-05-29 11:01:07.609078" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809506" end_time: "2026-05-29 11:01:07.609118" }
{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809514" end_time: "2026-05-29 11:01:07.609134" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809522" end_time: "2026-05-29 11:01:07.609149" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.809530" end_time: "2026-05-29 11:01:07.609163" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:02.911255" end_time: "2026-05-29 11:01:07.660670" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.763608" end_time: "2026-05-29 11:01:12.621477" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.809236" end_time: "2026-05-29 11:01:12.710165" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.809311" end_time: "2026-05-29 11:01:12.710210" }
{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.809334" end_time: "2026-05-29 11:01:12.710225" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 8 success: 8 suc_rate: 100 speed: 0.0001604492579221821 beg_time: "2026-05-29 11:01:07.724914" end_time: "2026-05-29 11:01:12.710244" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.809368" end_time: "2026-05-29 11:01:12.710256" }
{ stage: "Sink" name: "sink_stat" target: "kafka_sink/all_sink" wp_sink_group: "kafka_sink" wp_sink_name: "all_sink" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:07.909966" end_time: "2026-05-29 11:01:12.710165" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:12.724185" end_time: "2026-05-29 11:01:17.684626" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:12.810101" end_time: "2026-05-29 11:01:17.410332" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:01:12.810138" end_time: "2026-05-29 11:01:17.410411" }
